location,company,relevance
Philadelphia (PHL),regeneron,Error fetching relevance
Greenville-Spartanburg (GSP),regeneron,Error fetching relevance
Cartagena (CTG),regeneron,Error fetching relevance
Belize City (BZE),regeneron,Error fetching relevance
Dallas (DAL),regeneron,Error fetching relevance
San Antonio (SAT),regeneron,Error fetching relevance
Morristown (MMU),regeneron,Error fetching relevance
Aguadilla (BQN),regeneron,Error fetching relevance
New York (JFK),regeneron,Error fetching relevance
The Valley (AXA),regeneron,Error fetching relevance
Chicago (PWK),regeneron,Error fetching relevance
Fernandina Beach (QSB),regeneron,Error fetching relevance
Evansville (EVV),regeneron,Error fetching relevance
Los Angeles (LAX),regeneron,Error fetching relevance
Santa Ana (SNA),regeneron,Error fetching relevance
New Haven (HVN),regeneron,Error fetching relevance
Akron (CAK),regeneron,Error fetching relevance
Cleveland (CGF),regeneron,Error fetching relevance
Oklahoma City (OKC),regeneron,Error fetching relevance
Providenciales (PLS),regeneron,Error fetching relevance
Houston (SGR),regeneron,Error fetching relevance
Providence (PVD),regeneron,Error fetching relevance
George Town (GCM),regeneron,Error fetching relevance
South Bend (SBN),regeneron,Error fetching relevance
Philadelphia (TTN),regeneron,Error fetching relevance
Fort Myers (RSW),regeneron,Error fetching relevance
Houston (DWH),regeneron,Error fetching relevance
Sacramento (MHR),regeneron,Error fetching relevance
New York (EWR),regeneron,Error fetching relevance
Charleston (JZI),regeneron,Error fetching relevance
Washington (DCA),regeneron,Error fetching relevance
Washington (IAD),regeneron,Error fetching relevance
Oakland (OAK),regeneron,Error fetching relevance
Napa (APC),regeneron,Error fetching relevance
Mountain View (NUQ),regeneron,Error fetching relevance
Coatesville (CTH),regeneron,Error fetching relevance
Zurich (ZRH),regeneron,Error fetching relevance
Charlottesville (CHO),regeneron,Error fetching relevance
Pickens (LQK),regeneron,Error fetching relevance
El Dorado (ELD),regeneron,Error fetching relevance
Burlington (QQY),regeneron,Error fetching relevance
Las Vegas (LAS),regeneron,Error fetching relevance
New Orleans (NEW),regeneron,Error fetching relevance
San Luis Obispo (SBP),regeneron,Error fetching relevance
New York (LGA),regeneron,Error fetching relevance
Monterey (MRY),regeneron,Error fetching relevance
Camarillo (QTC),regeneron,Error fetching relevance
Thermal (TRM),regeneron,Error fetching relevance
Nassau (NAS),regeneron,Error fetching relevance
Baltimore (BWI),regeneron,Error fetching relevance
Detroit (DTW),regeneron,Error fetching relevance
Chicago (ORD),regeneron,Error fetching relevance
Windsor (YQG),regeneron,Error fetching relevance
Traverse City (TVC),regeneron,Error fetching relevance
Bangor (BGR),regeneron,Error fetching relevance
Dublin (DUB),regeneron,Error fetching relevance
London (LTN),regeneron,Error fetching relevance
Toronto (YYZ),regeneron,Error fetching relevance
Cancun (CUN),regeneron,Error fetching relevance
Little Rock (LIT),regeneron,Error fetching relevance
Aspen (ASE),regeneron,Error fetching relevance
Dillingham (DLG),regeneron,Error fetching relevance
King Salmon (AKN),regeneron,Error fetching relevance
Atlanta (QQR),regeneron,Error fetching relevance
Pontiac (PTK),regeneron,Error fetching relevance
Venice (VNC),regeneron,Error fetching relevance
Sarasota (SRQ),regeneron,Error fetching relevance
Chattanooga (CHA),regeneron,Error fetching relevance
Council Bluffs (CBF),regeneron,Error fetching relevance
St. Louis (CPS),regeneron,Error fetching relevance
Tuscaloosa (TCL),regeneron,Error fetching relevance
Pellston (PLN),regeneron,Error fetching relevance
Youngstown (YNG),regeneron,Error fetching relevance
North Bend (OTH),regeneron,Error fetching relevance
Waukesha (UES),regeneron,"GE Healthcare: technology, manufacturing, and partnerships."
Holland (QTB),regeneron,"Potential partnerships, collaborations, or talent acquisition."
Hailey (SUN),regeneron,Corporate leisure travel to Sun Valley.
Denver (APA),regeneron,"For potential partnerships, business meetings, conferences."
Farmingdale (FRG),regeneron,Executive commutes or Long Island business.
Houston (QSE),regeneron,"Biomedical research, trials, partnerships, and talent."
Hayward (HWD),regeneron,Error fetching relevance
Santa Barbara (SBA),regeneron,Error fetching relevance
San Diego (CLD),regeneron,Error fetching relevance
Denver (DEN),regeneron,Error fetching relevance
Chicago (UGN),regeneron,Error fetching relevance
Asheville (AVL),regeneron,Error fetching relevance
Nice (NCE),regeneron,Error fetching relevance
Marseille (MRS),regeneron,Error fetching relevance
Eagle (EGE),regeneron,Error fetching relevance
Cleveland (BKL),regeneron,Error fetching relevance
Santa Rosa (STS),regeneron,Error fetching relevance
Long Beach (LGB),regeneron,Error fetching relevance
Rifle (RIL),regeneron,Error fetching relevance
Panama City (ECP),regeneron,Error fetching relevance
Atlantic City (ACY),regeneron,Error fetching relevance
Westhampton Beach (FOK),regeneron,Error fetching relevance
Burbank (BUR),regeneron,Error fetching relevance
St. Petersburg (PIE),regeneron,Error fetching relevance
Stuart (SUA),regeneron,Error fetching relevance
Wildwood (WWD),regeneron,Error fetching relevance
Buffalo (BUF),regeneron,Error fetching relevance
Paris (LBG),regeneron,Error fetching relevance
Palma de Mallorca (PMI),regeneron,Error fetching relevance
Oslo (OSL),regeneron,Error fetching relevance
Albany (ALB),regeneron,Error fetching relevance
South Lake Tahoe (TVL),regeneron,Error fetching relevance
Reno (RNO),regeneron,Error fetching relevance
Lakeland (LAL),regeneron,Error fetching relevance
Fort Myers (FMY),regeneron,Error fetching relevance
Barbuda (BBQ),regeneron,Error fetching relevance
Cincinnati (LUK),regeneron,Error fetching relevance
Shannon (SNN),regeneron,Error fetching relevance
Naples (NAP),regeneron,Error fetching relevance
Olbia (OLB),regeneron,Error fetching relevance
Malaga (AGP),regeneron,Error fetching relevance
Houston (HOU),regeneron,Error fetching relevance
Knoxville (TYS),regeneron,Error fetching relevance
Savannah (SAV),regeneron,Error fetching relevance
St. Augustine (UST),regeneron,Error fetching relevance
Hayden (HDN),regeneron,Error fetching relevance
Houston (IAH),regeneron,Error fetching relevance
Bridgetown (BGI),regeneron,Error fetching relevance
Kingstown (SVD),regeneron,Error fetching relevance
Marathon (MTH),regeneron,Error fetching relevance
Fort Lauderdale (FLL),regeneron,"**Conferences, business meetings, executive leisure travel.**"
Stockholm (VST),regeneron,Seeking potential European biotech partnerships and talent.
Farnborough (FAB),regeneron,Error fetching relevance
Weeze (NRN),regeneron,Error fetching relevance
Tucson (AVW),regeneron,Error fetching relevance
Minneapolis (MSP),regeneron,Error fetching relevance
Vero Beach (VRB),regeneron,Error fetching relevance
Kansas City (MKC),regeneron,Error fetching relevance
Fort Worth (AFW),regeneron,Error fetching relevance
Marrakesh (RAK),regeneron,Error fetching relevance
St. Louis (STL),regeneron,Error fetching relevance
Houma (HUM),regeneron,Error fetching relevance
Guatemala City (GUA),regeneron,Error fetching relevance
Albany (ABY),regeneron,Error fetching relevance
Bedford (BED),eli-lilly,Error fetching relevance
North Kingstown (NCO),eli-lilly,Error fetching relevance
Martha's Vineyard (MVY),eli-lilly,Error fetching relevance
Farmingdale (FRG),eli-lilly,Error fetching relevance
Toms River (MJX),eli-lilly,Error fetching relevance
New York (JFK),eli-lilly,Error fetching relevance
Pittsfield (PSF),eli-lilly,Error fetching relevance
Burlington (BTV),eli-lilly,Error fetching relevance
Laconia (LCI),eli-lilly,Error fetching relevance
New Bedford (EWB),eli-lilly,Error fetching relevance
Not available,eli-lilly,Error fetching relevance
Augusta (AUG),eli-lilly,Error fetching relevance
Plymouth (PYM),eli-lilly,Error fetching relevance
Hyannis (HYA),eli-lilly,Error fetching relevance
Allentown (ABE),eli-lilly,Error fetching relevance
Poughkeepsie (POU),eli-lilly,Error fetching relevance
Worcester (ORH),eli-lilly,Error fetching relevance
Fitchburg (QTI),eli-lilly,Error fetching relevance
Rockland (RKD),eli-lilly,Error fetching relevance
Nashua (ASH),eli-lilly,Error fetching relevance
Brunswick (NHZ),eli-lilly,Error fetching relevance
Portsmouth (PSM),eli-lilly,Error fetching relevance
Caldwell (CDW),eli-lilly,Error fetching relevance
Bangor (BGR),eli-lilly,Error fetching relevance
Lynchburg (LYH),eli-lilly,Error fetching relevance
Statesboro (TBR),eli-lilly,Error fetching relevance
Martinsburg (MRB),eli-lilly,Error fetching relevance
Beaufort (BFT),eli-lilly,Error fetching relevance
Binghamton (BGM),eli-lilly,Error fetching relevance
Portland (PWM),eli-lilly,Error fetching relevance
Sanford (SFM),eli-lilly,Error fetching relevance
Toronto (YTZ),eli-lilly,Error fetching relevance
Islip (ISP),eli-lilly,Error fetching relevance
Nantucket (ACK),eli-lilly,Error fetching relevance
Bar Harbor (BHB),eli-lilly,Error fetching relevance
Bridgeport (BDR),eli-lilly,Error fetching relevance
Westfield (BAF),eli-lilly,Error fetching relevance
Morrisville (MVL),eli-lilly,Error fetching relevance
Hartford (HFD),eli-lilly,Error fetching relevance
New London (GON),eli-lilly,Error fetching relevance
Lebanon (LEB),eli-lilly,Error fetching relevance
Norwood (OWD),eli-lilly,Error fetching relevance
Chicago (UGN),abbvie,Error fetching relevance
San Francisco (SFO),abbvie,Error fetching relevance
Appleton (ATW),abbvie,Error fetching relevance
Not available,abbvie,Error fetching relevance
Washington (IAD),abbvie,Error fetching relevance
Chicago (MDW),abbvie,Error fetching relevance
Nashville (BNA),abbvie,Error fetching relevance
Boca Raton (BCT),abbvie,Error fetching relevance
Raleigh-Durham (RDU),abbvie,Error fetching relevance
